ds,yhat,y
2023-12-01,1745373.64,1754774.14
2023-12-02,1743235.32,1792220.86
2023-12-03,1742854.01,1789318.57
2023-12-04,1743267.38,1729505.14
2023-12-05,1744159.88,1867797.43
2023-12-06,1743924.42,1900221.57
2023-12-07,1747922.85,1420931.71
2023-12-08,1746563.43,1437644.57
2023-12-09,1744423.54,1493451.71
2023-12-10,1744041.85,1603368.71
2023-12-11,1744455.39,1644098.43
2023-12-12,1745348.39,1494969.0
2023-12-13,1745112.65,1520070.86
2023-12-14,1749113.69,1649607.71
2023-12-15,1747753.23,1748247.57
2023-12-16,1745611.76,1571762.86
2023-12-17,1745229.7,1537332.43
2023-12-18,1745643.4,1333259.86
2023-12-19,1746536.89,1523605.86
2023-12-20,1746300.88,1586545.14
2023-12-21,1750304.52,1722063.0
2023-12-22,1748943.02,1656133.57
2023-12-23,1746799.98,1676365.0
2023-12-24,1746417.54,1949484.0
2023-12-25,1746831.42,2078137.0
2023-12-26,1747725.39,1996847.86
2023-12-27,1747489.11,1820715.71
2023-12-28,1751495.36,1786811.29
2023-12-29,1750132.82,2006623.14
2023-12-30,1747988.2,2306768.57
